iter	Passed	Remaining
694	58711	25765
695	58803	25684
696	58883	25598
697	58969	25514
698	59053	25429
699	59143	25347
700	59237	25266
701	59325	25183
702	59423	25104
703	59564	25044
704	59644	24957
705	59744	24879
706	59829	24794
707	59933	24718
708	60010	24630
709	60106	24550
710	60196	24467
711	60285	24385
712	60376	24303
713	60473	24223
714	60570	24143
715	60657	24059
716	60736	23972
717	60828	23891
718	60907	23804
719	61007	23725
720	61088	23638
721	61170	23553
722	61250	23466
723	61326	23378
724	61431	23301
725	61519	23218
726	61595	23129
727	61678	23044
728	61780	22966
729	61864	22881
730	61952	22797
731	62053	22718
732	62151	22639
733	62252	22560
734	62315	22467
735	62405	22384
736	62488	22299
737	62566	22212
738	62668	22133
739	62743	22045
740	62859	21971
741	62954	21889
742	63037	21804
743	63130	21722
744	63222	21639
745	63311	21556
746	63394	21470
747	63468	21382
748	63575	21304
749	63654	21218
750	63732	21130
751	63829	21050
752	63917	20966
753	64034	20892
754	64124	20808
755	64212	20724
756	64295	20639
757	64371	20551
758	64459	20467
759	64547	20383
760	64626	20296
761	64698	20207
762	64789	20124
763	64899	20047
764	65006	19969
765	65088	19883
766	65187	19802
767	65263	19715
768	65363	19634
769	65441	19547
770	65526	19462
771	65592	19371
772	65675	19286
773	65749	19198
774	65827	19111
775	65920	19028
776	66013	18945
777	66076	18854
778	66161	18769
779	66244	18684
780	66351	18605
781	66442	18522
782	66555	18445
783	66646	18361
784	66731	18276
785	66823	18193
786	66912	18109
787	66989	18022
788	67074	17937
789	67165	17853
790	67256	17770
791	67357	17689
792	67450	17606
793	67532	17520
794	67631	17439
795	67720	17355
796	67795	17267
797	67889	17185
798	67983	17102
799	68089	17022
800	68168	16935
801	68256	16851
802	68331	16763
803	68447	16686
804	68513	16596
805	68598	16511
806	68691	16428
807	68771	16341
808	68853	16255
809	68949	16173
810	69028	16086
811	69109	16000
812	69218	15921
813	69346	15845
814	69452	15765
815	69547	15682
816	69639	15598
817	69721	15512
818	69809	15428
819	69889	15341
820	69985	15258
821	70071	15173
822	70146	15086
823	70239	15002
824	70330	14918
825	70410	14832
826	70489	14745
827	70595	14664
828	70679	14579
829	70774	14495
830	70867	14412
831	70945	14325
832	71044	14243
833	71144	14160
834	71243	14078
835	71336	13994
836	71431	13910
837	71536	13829
838	71631	13745
839	71708	13658
840	71813	13577
841	71921	13495
842	72001	13409
843	72077	13322
844	72161	13236
845	72243	13150
846	72324	13064
847	72405	12978
848	72481	12891
849	72592	12810
850	72678	12725
851	72767	12640
852	72850	12554
853	72958	12473
854	73058	12389
855	73141	12304
856	73227	12218
857	73356	12140
858	73475	12060
859	73580	11978
860	73656	11891
861	73775	11810
862	73887	11729
863	73996	11647
864	74089	11563
865	74178	11477
866	74262	11392
867	74362	11308
868	74449	11223
869	74556	11140
870	74642	11054
871	74739	10970
872	74820	10884
873	74917	10800
874	75027	10718
875	75161	10639
876	75257	10554
877	75362	10471
878	75480	10390
879	75574	10305
880	75660	10219
881	75762	10136
882	75849	10050
883	75921	9962
884	76007	9876
885	76087	9789
886	76182	9705
887	76270	9619
888	76343	9532
889	76440	9447
890	76526	9361
891	76627	9277
892	76720	9192
893	76813	9107
894	76930	9025
895	77029	8940
896	77136	8857
897	77229	8772
898	77350	8690
899	77468	8607
900	77553	8521
901	77659	8437
902	77789	8356
903	77873	8269
904	77970	8184
905	78083	8101
906	78186	8016
907	78294	7932
908	78385	7847
909	78504	7764
910	78610	7679
911	78740	7597
912	78852	7513
913	78955	7429
914	79066	7344
915	79166	7259
916	79264	7174
917	79382	7090
918	79481	7005
919	79578	6919
920	79684	6835
921	79776	6748
922	79870	6663
923	79967	6577
924	80060	6491
925	80151	6405
926	80248	6319
927	80337	6233
928	80448	6148
929	80537	6061
930	80640	5976
931	80752	5891
932	80857	5806
933	80957	5720
934	81044	5634
935	81153	5548
936	81255	5463
937	81333	5375
938	81412	5288
939	81510	5202
940	81615	5117
941	81709	5030
942	81815	4945
943	81922	4859
944	82016	4773
945	82104	4686
946	82199	4600
947	82289	4513
948	82404	4428
949	82495	4341
950	82583	4255
951	82659	4167
952	82757	4081
953	82845	3994
954	82928	3907
955	83024	3821
956	83112	3734
957	83168	3646
958	83268	3559
959	83374	3473
960	83466	3387
961	83555	3300
962	83641	3213
963	83720	3126
964	83794	3039
965	83898	2952
966	83990	2866
967	84067	2779
968	84157	2692
969	84256	2605
970	84347	2519
971	84434	2432
972	84537	2345
973	84641	2259
974	84737	2172
975	84823	2085
976	84913	1998
977	85026	1912
978	85123	1825
979	85238	1739
980	85335	1652
981	85408	1565
982	85496	1478
983	85584	1391
984	85680	1304
985	85775	1217
986	85851	1130
987	85954	1043
988	86055	957
989	86134	870
990	86225	783
991	86311	696
992	86404	609
993	86506	522
994	86584	435
995	86674	348
996	86771	261
997	86868	174
998	86979	87
999	87061	0
