iter	RMSE
0	0.1369145465
1	0.1319532897
2	0.1273383347
3	0.123001997
4	0.1189763095
5	0.1151983857
6	0.1116869856
7	0.1084184953
8	0.1048582074
9	0.101369287
10	0.09813106564
11	0.09510640558
12	0.09221308746
13	0.08958429369
14	0.08706573655
15	0.08476451513
16	0.08254850871
17	0.08056290511
18	0.07867703686
19	0.07690271437
20	0.07527545363
21	0.07373099786
22	0.07232500378
23	0.07105716899
24	0.06985530515
25	0.06832250903
26	0.06682266993
27	0.06548771674
28	0.06420084799
29	0.06299139961
30	0.06188859234
31	0.06093705412
32	0.06000285562
33	0.05911030696
34	0.05827839914
35	0.05748794699
36	0.05677008785
37	0.05610090042
38	0.05548427273
39	0.05490410447
40	0.05439073341
41	0.05386907505
42	0.05344328186
43	0.05299985988
44	0.05260839544
45	0.05223207292
46	0.05189587822
47	0.05156568146
48	0.0512735611
49	0.05100742619
50	0.05075638475
51	0.0504970117
52	0.05026607858
53	0.05001433945
54	0.0497224325
55	0.04948024421
56	0.04925419636
57	0.04905570659
58	0.04883342627
59	0.04863105015
60	0.04845567576
61	0.04826827341
62	0.04813330981
63	0.047993627
64	0.0478567591
65	0.04774408594
66	0.04761475441
67	0.04749683751
68	0.04737351242
69	0.04726633551
70	0.04715210643
71	0.04705859921
72	0.04695688898
73	0.04686783326
74	0.04678873839
75	0.04670867132
76	0.04662468885
77	0.04655927869
78	0.04649000306
79	0.04639083111
80	0.04632638268
81	0.04627050471
82	0.0461793544
83	0.04609776279
84	0.04597296281
85	0.04592857199
86	0.04579072356
87	0.04573965574
88	0.04570038081
89	0.04559275841
90	0.04554140069
91	0.04548350218
92	0.04524195485
93	0.04516875895
94	0.04515746951
95	0.04509319599
96	0.04506552942
97	0.04500446015
98	0.04497350313
99	0.04490158449
100	0.0447017108
101	0.04465840914
102	0.04461104621
103	0.04446464476
104	0.04442867476
105	0.04442758506
106	0.04438791901
107	0.04433103091
108	0.04426520066
109	0.04418187049
110	0.04414471225
111	0.04403151818
112	0.04401445691
113	0.04401445005
114	0.04394962223
115	0.04389521482
116	0.04382864927
117	0.04378157058
118	0.04368927229
119	0.0436717272
120	0.04358445657
121	0.04356931946
122	0.04355655884
123	0.04340599528
124	0.04331461055
125	0.04326029564
126	0.04322314455
127	0.04316121417
128	0.04310789136
129	0.04308872407
130	0.0430713884
131	0.04306015142
132	0.04304062022
133	0.04296383166
134	0.04296372342
135	0.04292427458
136	0.04288241811
137	0.04288241475
138	0.0428392185
139	0.04281632304
140	0.04276265844
141	0.04273291007
142	0.04269838055
